Activity Type,Date,Title,Distance,Time
Walking,2026-09-05 11:30:18,Weekend Walk,7.48,01:25:38
Stretching,2026-09-02 19:15:14,Stretching,--,00:25:47
Running,2026-09-01 07:10:09,Morning Run,10.27,01:02:22
Walking,2026-08-30 16:45:20,Easy Walk,4.90,00:57:27
Cycling,2026-08-29 10:00:36,Weekend Ride,40.85,01:46:02
Skiing,2026-08-27 20:00:47,Ski Day,14.20,02:59:41
Boxing,2026-08-26 19:15:13,Boxing,--,00:55:42
Running,2026-08-25 07:10:48,Morning Run,5.16,00:32:31
Strength Training,2026-08-24 18:30:27,Strength Training,--,00:44:37
Walking,2026-08-23 16:45:59,Easy Walk,5.65,01:07:57
Soccer,2026-08-20 20:00:52,Football,--,01:10:02
Volleyball,2026-08-19 19:15:49,Volleyball,--,01:04:58
Strength Training,2026-08-17 18:30:11,Strength Training,--,00:45:47
Walking,2026-08-15 11:30:50,Weekend Walk,8.87,01:43:24
Volleyball,2026-08-13 20:00:34,Volleyball,--,01:05:29
Table Tennis,2026-08-12 19:15:34,Table Tennis,--,00:49:22
Running,2026-08-11 07:10:42,Morning Run,7.80,00:48:57
Strength Training,2026-08-10 18:30:53,Strength Training,--,00:44:53
Walking,2026-08-09 16:45:22,Easy Walk,5.81,01:10:52
Walking,2026-08-08 11:30:58,Weekend Walk,5.03,00:57:41
Yoga,2026-08-05 19:15:20,Evening Yoga,--,00:40:51
Running,2026-08-04 07:10:51,Morning Run,7.70,00:48:10
Strength Training,2026-08-03 18:30:10,Strength Training,--,00:45:47
Walking,2026-08-02 16:45:29,Easy Walk,6.64,01:19:48
Walking,2026-08-01 11:30:45,Weekend Walk,7.58,01:27:44
Tennis,2026-07-30 20:00:43,Tennis,--,01:10:30
Basketball,2026-07-29 19:15:23,Basketball,--,00:59:35
Running,2026-07-28 07:10:46,Morning Run,6.90,00:41:59
Strength Training,2026-07-27 18:30:52,Strength Training,--,00:45:52
Walking,2026-07-26 16:45:47,Easy Walk,4.51,00:54:56
Walking,2026-07-25 11:30:52,Weekend Walk,5.69,01:05:00
Snowboarding,2026-07-23 20:00:05,Snowboarding,11.50,02:39:23
Hiking,2026-07-22 19:15:03,Forest Hike,9.40,02:31:16
Running,2026-07-21 07:10:42,Morning Run,8.53,00:53:27
Walking,2026-07-19 16:45:42,Easy Walk,3.42,00:41:05
Cycling,2026-07-18 10:00:06,Weekend Ride,34.49,01:28:35
Dancing,2026-07-16 20:00:21,Dance Class,--,01:01:01
Swimming,2026-07-15 19:15:16,Pool Swim,1.80,00:43:34
Running,2026-07-14 07:10:12,Morning Run,5.72,00:36:27
Strength Training,2026-07-13 18:30:29,Strength Training,--,00:45:02
Cycling,2026-07-11 10:00:05,Weekend Ride,36.20,01:34:36
Boxing,2026-07-09 20:00:43,Boxing,--,00:54:19
Tennis,2026-07-08 19:15:43,Tennis,--,01:10:28
Running,2026-07-07 07:10:57,Morning Run,11.26,01:09:50
Strength Training,2026-07-06 18:30:48,Strength Training,--,00:43:56
